title;content;excerpt;status;type;expires;discount_value;code;printable_url;destination_url;store;category;date;exclusive;author;store_name;store_slug;store_description;store_parent;store_url;store_aff_url;store_heading;store_is_featured;store_extra_info;store_image;category_name;category_slug;category_description;category_parent;category_icon;category_cat_image
Treine em casa com os melhores artigos esportivos;;;publish;code;31/03/2021 23:59;15;TREINEEMCASA;https://www.centauro.com.br/;https://redir.lomadee.com/v2/874c0a42cb;Centauro;Esportes e Lazer;;;;;;;;;;;;;;;;;;;
10% de desconto em toda loja.;;;publish;code;31/03/2021 23:59;10;color10;https://www.colorbrinque.com.br/;https://redir.lomadee.com/v2/876eeacdc8;Color Brinque;Brinquedos;;;;;;;;;;;;;;;;;;;
FRETE GRÁTIS na Comix acima de R$99,90 (sudeste);;;publish;sale;31/03/2021 23:59;20;URL CUPONADA;https://www.comix.com.br/;https://redir.lomadee.com/v2/87dce1bd5d;Comix;Livros;;;;;;;;;;;;;;;;;;;
FRETE GRÁTIS na Comix acima de R$99,90 (sudeste);;;publish;sale;31/03/2021 23:59;20;URL CUPONADA;https://www.comix.com.br/;https://redir.lomadee.com/v2/87d4bff64d;Comix;CD DVD e Blu-Ray;;;;;;;;;;;;;;;;;;;
91% de desconto DESCOMPLICA TOP na Descomplica;;;publish;code;31/03/2021 23:59;91;DESC-TOP2020;https://descomplica.com.br/;https://redir.lomadee.com/v2/87d8a03c8f;Descomplica;Mais Ofertas;;;;;;;;;;;;;;;;;;;
Leve 6 e pague 4 em almofadas na DesignUP;;;publish;code;31/03/2021 23:59;0;LEVE6PAGUE4;https://www.designupliving.com/;https://redir.lomadee.com/v2/878d67267b;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$100,00 de desconto em compras acima de R$350,00 de quadros e placas na DesignUP;;;publish;code;31/03/2021 23:59;100;PAREDE100;https://www.designupliving.com/;https://redir.lomadee.com/v2/8776ad8632;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$50,00 de desconto em qualquer compra a partir de R$200,00 na DesignUp;;;publish;code;31/03/2021 23:59;50;TOMA50;https://www.designupliving.com/;https://redir.lomadee.com/v2/87088efd43;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$10,00 de desconto em qualquer compra a partir de R$30,00 na DesignUp;;;publish;code;31/03/2021 23:59;10;TOMA10;https://www.designupliving.com/;https://redir.lomadee.com/v2/87088efd43;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
Suportes Legs Pinus com Vasos Brancos de R$189,90 por R$149,90 na DesignUp;;;publish;code;31/03/2021 23:59;0;SUPORTESPOR149;https://www.designupliving.com/;https://redir.lomadee.com/v2/87540ac273;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
15% de desconto em todos os Pegboards na DesignUp;;;publish;code;31/03/2021 23:59;15;PEGBOARD15OFF;https://www.designupliving.com/;https://redir.lomadee.com/v2/87c97294e7;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
20% de desconto em todos os Hangers na DesignUp;;;publish;code;31/03/2021 23:59;20;HANGER20;https://www.designupliving.com/;https://redir.lomadee.com/v2/8773779083;DesignUP Living;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$25 de desconto no curso Gestão de Conflitos de Hilda Scarcella;;;publish;code;31/03/2021 23:59;25;25OFFGCA;https://www.ead360graus.com.br/;https://redir.lomadee.com/v2/87a95558c5;EAD 360 GRAUS;Mais Ofertas;;;;;;;;;;;;;;;;;;;
R$25 de desconto no Curso Planejamento Estratégico de Vanesca Lopes;;;publish;code;31/03/2021 23:59;25;25OFFPEA;https://www.ead360graus.com.br/;https://redir.lomadee.com/v2/87e40356ee;EAD 360 GRAUS;Mais Ofertas;;;;;;;;;;;;;;;;;;;
+30% de desconto em todos os livros na Editora Foco!;;;publish;code;31/03/2021 23:59;30;CONSUMIDOR30;https://www.editorafoco.com.br/;https://redir.lomadee.com/v2/871ac369c6;Editora Foco;Livros;;;;;;;;;;;;;;;;;;;
FRETE GRÁTIS para compras acima de R$ 60,00 na Editora Foco!;;;publish;code;31/03/2021 23:59;0;FIQUEEMCASA;https://www.editorafoco.com.br/;https://redir.lomadee.com/v2/871ac369c6;Editora Foco;Livros;;;;;;;;;;;;;;;;;;;
R$ 125 OFF na Electrolux (válido somente para produtos com selo por tempo indetermidado);;;publish;code;31/03/2021 23:59;125;OFF125;https://loja.electrolux.com.br/;https://redir.lomadee.com/v2/87308bd9eb;Electrolux;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
R$ 50 OFF na Electrolux (válido somente para produtos com selo por tempo indetermidado);;;publish;code;31/03/2021 23:59;50;OFF50;https://loja.electrolux.com.br/;https://redir.lomadee.com/v2/87308bd9eb;Electrolux;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
R$ 25 OFF na Electrolux (válido somente para produtos com selo por tempo indetermidado);;;publish;code;31/03/2021 23:59;25;OFF25;https://loja.electrolux.com.br/;https://redir.lomadee.com/v2/87308bd9eb;Electrolux;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
30% de desconto nas FLORES no FOUND IT!;;;publish;code;31/03/2021 23:59;30;FLORES30;https://www.foundit.com.br/;https://redir.lomadee.com/v2/877ab70277;Found IT;Casa e Decoração;;;;;;;;;;;;;;;;;;;
FRETE GRÁTIS em compras acima de R$ 179,00 no FOUND IT!;;;publish;sale;31/03/2021 23:59;100;URL CUPONADA;https://www.foundit.com.br/;https://redir.lomadee.com/v2/871caba416;Found IT;Casa e Decoração;;;;;;;;;;;;;;;;;;;
18% de desconto na PRIMEIRA COMPRA no FOUND IT!;;;publish;code;31/03/2021 23:59;18;PRIMEIRA18;https://www.foundit.com.br/;https://redir.lomadee.com/v2/871caba416;Found IT;Casa e Decoração;;;;;;;;;;;;;;;;;;;
12%OFF TODO SITE;;;publish;code;31/03/2021 23:59;12;GANHOU12;https://www.foundit.com.br/;https://redir.lomadee.com/v2/871caba416;Found IT;Casa e Decoração;;;;;;;;;;;;;;;;;;;
15% de desconto em PRESENTES DE PÁSCOA;;;publish;code;31/03/2021 23:59;15;DESCONTO15;https://www.foundit.com.br/;https://redir.lomadee.com/v2/87f72dd9b1;Found IT;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$50 de desconto em compras acima de R$ 250,00 no FOUND IT!;;;publish;code;31/03/2021 23:59;50;50REAIS;https://www.foundit.com.br/;https://redir.lomadee.com/v2/871caba416;Found IT;Mais Ofertas;;;;;;;;;;;;;;;;;;;
R$ 50 de desconto em Ar condicionado na Frio Peças;;;publish;code;31/03/2021 23:59;50;50DESC;https://www.friopecas.com.br/;https://redir.lomadee.com/v2/8717d5b711;Frio Peças;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
Até 10% de desconto em todo site no Frio Peças;;;publish;code;31/03/2021 23:59;10;ATE10FRIOPECAS;https://www.friopecas.com.br/;https://redir.lomadee.com/v2/8717d5b711;Frio Peças;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
R$ 30 de desconto em Eletrodomésticos no Frio Peças;;;publish;code;31/03/2021 23:59;30;30DESC;https://www.friopecas.com.br/;https://redir.lomadee.com/v2/8717d5b711;Frio Peças;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
5% de desconto em seleção de ofertas na Gazin;;;publish;code;31/03/2021 23:59;5;LOMADEE05;https://www.gazin.com.br/;https://redir.lomadee.com/v2/87b5ca5679;Gazin;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
40% de desconto sobre preço de capa nos e-books selecionados (confira as regras no site) no Grupo A;;;publish;code;31/03/2021 23:59;40;FIQUEEMCASA;https://www.grupoa.com.br/;https://redir.lomadee.com/v2/87b758ddbb;Grupo A;Livros;;;;;;;;;;;;;;;;;;;
Aulas de Musica - Acesse todo o conteudo com 1400 aulas (guitarra, Bateria, Violão, Canto e Teclado) APENAS R$ 39,90 reais por mes;;;publish;sale;31/03/2021 23:59;45;URL CUPONADA;https://www.guitarpedia.com.br/;https://redir.lomadee.com/v2/87afda3244;Guitarpedia;Esportes e Lazer;;;;;;;;;;;;;;;;;;;
45%  Desconto - Assinatura Anual com ACESSO TOTAL aos Cursos de Guitarra, Violão, Teclado, Bateria e Canto;;;publish;sale;31/03/2021 23:59;45;URL CUPONADA;https://www.guitarpedia.com.br/;https://redir.lomadee.com/v2/8743ce1c81;Guitarpedia;Esportes e Lazer;;;;;;;;;;;;;;;;;;;
Assinatura Anual de Cursos de Musica (Guitarra, Violao, Bateria, Canto, Teclado) com 20%;;;publish;sale;31/03/2021 23:59;20;URL CUPONADA;https://www.guitarpedia.com.br/;https://redir.lomadee.com/v2/8743ce1c81;Guitarpedia;Mais Ofertas;;;;;;;;;;;;;;;;;;;
FRETE GRÁTIS (CAPITAIS) A PARTIR DE R$200 EM TODO SITE;;;publish;sale;31/03/2021 23:59;0;URL CUPONADA;https://www.homeis.com.br/;https://redir.lomadee.com/v2/87632dcff9;Home is…;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$20 OFF NAS COMPRAS A PARTIR DE R$200;;;publish;code;31/03/2021 23:59;20;EUMERECO;https://www.homeis.com.br/;https://redir.lomadee.com/v2/87632dcff9;Home is...;Casa e Decoração;;;;;;;;;;;;;;;;;;;
5% De Desconto em Acessórios de Robôs Aspiradores e Passa Pano da iRobot;;;publish;code;31/03/2021 23:59;5;UPGRADE;https://www.irobotloja.com.br/;https://redir.lomadee.com/v2/878854c972;iRobot;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
Fique em Casa com Koralle;;;publish;code;31/03/2021 23:59;10;FIQUEEMCASA;https://www.koralle.com.br/;https://redir.lomadee.com/v2/87754bcca2;Koralle;Mais Ofertas;;;;;;;;;;;;;;;;;;;
Frete grátis em todo o site na Lendari Store;;;publish;code;31/03/2021 23:59;100;FRETE000;https://www.lendaristore.com.br/;https://redir.lomadee.com/v2/879d5c39e5;Lendari Store;Livros;;;;;;;;;;;;;;;;;;;
Até R$ 1.500 de desconto em Notebooks e PCs na Lenovo;;;publish;code;31/03/2021 23:59;1500;LNV2020;https://www.lenovo.com/;https://redir.lomadee.com/v2/873947607e;Lenovo;Informática;;;;;;;;;;;;;;;;;;;
5% de desconto em toda a loja;;;publish;code;31/03/2021 23:59;5;SOUFLORENCE;https://www.livrariaflorence.com.br/;https://redir.lomadee.com/v2/87616f1cef;Livraria Florence;Livros;;;;;;;;;;;;;;;;;;;
GANHE um Massageador de Caju em compras acima de R$110 na Loccitane Au Bresil;;;publish;code;31/03/2021 23:59;0;BRINDECAJU;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/877e52b378;Loccitane;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
Ganhe R$50 de desconto em compras acima de $220 na linha Caju na Loccitane Au Bresil;;;publish;code;31/03/2021 23:59;50;CAJU50OFF;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/87565d7dbf;Loccitane;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
GANHE uma Bolsa SHOULDER em compras acima de R$350 na Loccitane Au Bresil;;;publish;code;31/03/2021 23:59;0;SHOULDER350;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/87e9af60d9;Loccitane;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
GANHE uma toalha exclusiva em compras acima de R$250 com algum produto da linha de Bagunça na Loccitane Au Bresil;;;publish;code;31/03/2021 23:59;0;TOALHABAGUNÇA;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/87b728d829;Loccitane;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
GANHE uma Lancheira Água de Coco à sua escolha em compras acima de R$ 220 na Loccitane Au Bresil;;;publish;code;31/03/2021 23:59;0;LANCHEIRA220;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/878218de49;Loccitane;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
GANHE uma Bolsa Exclusiva em compras acima de R$230 na Loccitane Au Bresil;;;publish;code;31/03/2021 23:59;0;BOLSAVIP;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/87d5e18666;Loccitane;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
DESC5 - Cupom de 5% Geral para todo o site em qualquer produto;;;publish;code;31/03/2021 23:59;5;DESC5;https://lojasmm.com/;https://redir.lomadee.com/v2/8790a696e9;LojasMM;Mais Ofertas;;;;;;;;;;;;;;;;;;;
FRETE GRÁTIS QUALQUER COMPRA;;;publish;sale;31/03/2021 23:59;0;URL CUPONADA;https://www.magrelashop.com.br/;https://redir.lomadee.com/v2/878c894a4b;Magrela Shop;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
DESCONTO DE 10% EM TODO SITE.;;;publish;code;31/03/2021 23:59;10;LOMADEE;https://mamorena.com.br/;https://redir.lomadee.com/v2/87022e3415;Mamorena;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
#FiqueEmCasa - 5% de desconto em categorias vendidas e entregue por Mobly;;;publish;code;31/03/2021 23:59;5;EMCASACOMMOBLY;https://www.mobly.com.br/;https://redir.lomadee.com/v2/87d27c503f;Mobly;Casa e Decoração;;;;;;;;;;;;;;;;;;;
25% Off PARA COMPRAS ACIMA DE R$ 50,00 PARA MÊS DO CONSUMIDOR;;;publish;code;31/03/2021 23:59;25;mesconsumidor;https://www.nathusbrasil.com.br/;https://redir.lomadee.com/v2/8743220c43;Nathus Brasil;Saúde e Beleza;;;;;;;;;;;;;;;;;;;
Coleção Gio Ewbank. Compras acima de R$ 399,00, desconto de R$ 50,00 em todo site.;;;publish;code;31/03/2021 23:59;50;NB50;https://newbeach.com.br/;https://redir.lomadee.com/v2/87a4e20e1b;Newbeach;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
Coleção Gio Ewbank. Compras acima de R$ 699,00, desconto de R$ 100,00 em todo site.;;;publish;code;31/03/2021 23:59;100;NB100;https://newbeach.com.br/;https://redir.lomadee.com/v2/87a4e20e1b;Newbeach;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
Frete Grátis em todo site.;;;publish;sale;31/03/2021 23:59;0;URL CUPONADA;https://newbeach.com.br/;https://redir.lomadee.com/v2/87a4e20e1b;Newbeach;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
CUPOM: VIDASAUDAVEL para ganhar desconto no seu primeiro NutriBullet!;;;publish;code;31/03/2021 23:59;5;vidasaudavel;https://www.nutribulletbrasil.com.br/;https://redir.lomadee.com/v2/873c5f83cc;NutriBullet;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
CUPOM: VIDASAUDAVEL Faça sucos para imunidade sem sair de casa! Transforme sua alimentação com NutriBullet!;;;publish;code;31/03/2021 23:59;5;vidasaudavel;https://www.nutribulletbrasil.com.br/;https://redir.lomadee.com/v2/873c5f83cc;NutriBullet;Eletrodomésticos;;;;;;;;;;;;;;;;;;;
10% de desconto em todo Site na Pajaris;;;publish;code;31/03/2021 23:59;10;PROMO10;https://www.pajaris.com.br/;https://redir.lomadee.com/v2/8773dd07c7;Pajaris;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
Frete PAC Grátis em todo site na Pajaris;;;publish;code;31/03/2021 23:59;0;FRETEOFF;https://www.pajaris.com.br/;https://redir.lomadee.com/v2/8773dd07c7;Pajaris;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
40% de desconto em TODO SITE na Pajaris;;;publish;code;31/03/2021 23:59;40;RX4KLN;https://www.pajaris.com.br/;https://redir.lomadee.com/v2/8773dd07c7;Pajaris;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
10% de desconto em primeira compra no Petit Louarth;;;publish;code;31/03/2021 23:59;10;PETIT10;https://www.petitlouarth.com.br/;https://redir.lomadee.com/v2/872dba8e27;Petit Louarth;Brinquedos;;;;;;;;;;;;;;;;;;;
TODO SITE COM +10% OFF NO BOLETO;;;publish;sale;31/03/2021 23:59;10;URL CUPONADA;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/87973f3923;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;;;;;;;
PEÇAS EM PORCELANA COM 40% OFF;;;publish;sale;31/03/2021 23:59;40;URL CUPONADA;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/871e3551a1;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;;;;;;;
PEÇAS EM FERRO FUNDIDO COM 10% OFF;;;publish;sale;31/03/2021 23:59;10;URL CUPONADA;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/8730e82ea1;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$20 OFF NA PRIMEIRA COMPRA;;;publish;code;31/03/2021 23:59;20;QUINTA20;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/87973f3923;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;;;;;;;
10% de desconto na primeira compra;;;publish;code;31/03/2021 23:59;10;FIRST10;https://www.repassa.com.br/;https://redir.lomadee.com/v2/877b3876e1;Repassa;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
Frete grátis em compras acima de R$ 300,00;;;publish;code;31/03/2021 23:59;0;ZEROFRETE;https://www.repassa.com.br/;https://redir.lomadee.com/v2/877b3876e1;Repassa;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
Oferta especial para clientes Lomadee.;;;publish;code;31/03/2021 23:59;15;LOMADEE;https://rzmshop.com.br/;https://redir.lomadee.com/v2/87e77df944;RZM Shop;Moda e Acessórios;;;;;;;;;;;;;;;;;;;
10% de desconto em produtos Fun Kitchen no Shoptime;;;publish;code;31/03/2021 23:59;10;FUN10;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87298e732d;Shoptime;Casa e Decoração;;;;;;;;;;;;;;;;;;;
10% de desconto em seleção de produtos Fun Kitchen e La Cuisine no Shoptime;;;publish;code;31/03/2021 23:59;10;RECEITA10;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/871e26ce1c;Shoptime;Casa e Decoração;;;;;;;;;;;;;;;;;;;
10% de desconto em seleção de Casa & Conforto no Shoptime;;;publish;code;31/03/2021 23:59;10;TEMCONFORTO10;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87baa0bb3e;Shoptime;Casa e Decoração;;;;;;;;;;;;;;;;;;;
R$ 50,00 de desconto em compras acima de R$ 450,00 no Shoptime. Exceto: https://www.shoptime.com.br/landingpage/exceto-tech50?opn=AFLSHOP&epar=b2wafiliados. Apenas um uso por CPF;;;publish;code;31/03/2021 23:59;0;TECH50;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/872ed6064c;Shoptime;Mais Ofertas;;;;;;;;;;;;;;;;;;;
R$ 100,00 de desconto em compras acima de R$ 950,00 no Shoptime. Exceto: https://www.shoptime.com.br/landingpage/exceto-tech100?opn=AFLSHOP&epar=b2wafiliados. Apenas um uso por CPF;;;publish;code;31/03/2021 23:59;0;TECH100;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87d0e7d699;Shoptime;Mais Ofertas;;;;;;;;;;;;;;;;;;;
R$ 200,00 de desconto em compras acima de R$ 1.950,00 no Shoptime. Exceto: https://www.shoptime.com.br/landingpage/exceto-tech200?opn=AFLSHOP&epar=b2wafiliados. Apenas um uso por CPF;;;publish;code;31/03/2021 23:59;0;TECH200;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87b7318dda;Shoptime;Mais Ofertas;;;;;;;;;;;;;;;;;;;
R$ 300,00 de desconto em compras acima de R$ 2.950,00 no Shoptime. Exceto: https://www.shoptime.com.br/landingpage/exceto-tech300?opn=AFLSHOP&epar=b2wafiliados. Apenas um uso por CPF;;;publish;code;31/03/2021 23:59;0;TECH300;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87ae3eee96;Shoptime;Mais Ofertas;;;;;;;;;;;;;;;;;;;
15% de desconto em seleção de produtos para Bebês no Shoptime;;;publish;code;31/03/2021 23:59;15;BEBE15;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87bbf3d795;Shoptime;Mais Ofertas;;;;;;;;;;;;;;;;;;;
10% de desconto em seleção de produtos La Cuisine no Shoptime;;;publish;code;31/03/2021 23:59;10;COZINHA10;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/87c41088a2;Shoptime;Mais Ofertas;;;;;;;;;;;;;;;;;;;
